Country ID,Year,PPP
AD,2023,0.601311820072143
AD,2022,0.588730553261158
AD,2021,0.604573547840118
AD,2020,0.627878780205223
AD,2019,0.64122788740431
AD,2018,0.656328009600346
AD,2017,0.678233981132507
AD,2016,0.682621757490967
AD,2015,0.686720483374888
AD,2014,0.688545090494479
AD,2013,0.701125997361927
AD,2012,0.709874590843503
AD,2011,0.72183361608277
AD,2010,0.735279068189439
AD,2009,0.741439506698085
AD,2008,0.745028111258172
AD,2007,0.742495774221684
AD,2006,0.738884638466139
AD,2005,0.736218215380024
AD,2004,0.734362308946084
AD,2003,0.731844152630874
AD,2002,0.723309998325789
AD,2001,0.711500899393405
AD,2000,0.705779895430886
AD,1999,0.560632656151341
AD,1998,0.553446123533575
AD,1997,0.551397610212737
AD,1996,0.548680689680266
AD,1995,0.554306929893649
AD,1994,0.539323536566479
AD,1993,0.530265609799499
AD,1992,0.519273962108906
AD,1991,0.49770746151984
AD,1990,0.481169191568553
AE,2023,2.31884546890079
AE,2022,2.49942241788049
AE,2021,2.36256718635559
AE,2020,2.08898448944092
AE,2019,2.1137228012085
AE,2018,2.23515868186951
AE,2017,2.28525042533875
AE,2016,2.24174884422555
AE,2015,2.22924693053669
AE,2014,2.21351673547793
AE,2013,2.2341905856946
AE,2012,2.1879699726825
AE,2011,2.12660837173462
AE,2010,1.9179428836283
AE,2009,1.66591143856657
AE,2008,1.9762383267042
AE,2007,1.6993653261263
AE,2006,1.55100337269531
AE,2005,1.42801276558946
AE,2004,1.26390983777474
AE,2003,1.19620319799516
AE,2002,1.17208782920477
AE,2001,1.1470486474411
AE,2000,1.20109402020605
AE,1999,1.10201530561695
AE,1998,1.03059304277664
AE,1997,1.08848450159541
AE,1996,1.11790062594504
AE,1995,1.07623522256201
AE,1994,1.05747971668771
AE,1993,1.08290135138042
AE,1992,1.09458049488638
AE,1991,1.09965552674094
AE,1990,1.12769986207302
AF,2022,14.9102820470681
AF,2021,14.5879421234131
AF,2020,15.3352430921872
AF,2019,15.026434394062
AF,2018,14.8562349775318
AF,2017,15.4202070236206
AF,2016,15.9236559656703
AF,2015,15.8235824504332
AF,2014,16.1278038080551
AF,2013,16.8815458389923
AF,2012,16.9302950898685
AF,2011,16.6134779097919
AF,2010,14.5430529449813
AF,2009,14.1789193737253
AF,2008,14.5818363062911
AF,2007,14.5576162881187
AF,2006,12.2029654394043
AF,2005,11.734434845685
AF,2004,10.9116040744157
AF,2003,10.0699941213408
AF,2002,9.19688826036544
AF,2001,8.80071752162155
AF,2000,10.1998697270563
AG,2023,1.83044748608644
AG,2022,1.81017947393948
AG,2021,1.81939482688904
AG,2020,1.85506355762482
AG,2019,1.92162227630615
AG,2018,2.01181793212891
AG,2017,2.13833737373352
AG,2016,2.09674444871081
AG,2015,2.06855869734309
AG,2014,1.93511005167144
AG,2013,1.86755989889067
AG,2012,1.83504087686813
AG,2011,1.69137668609619
AG,2010,1.7148056676352
AG,2009,1.70821976019476
AG,2008,1.69987311350405
AG,2007,1.65425645842613
AG,2006,1.62787856227757
AG,2005,1.65942657028891
AG,2004,1.63499220031616
AG,2003,1.64041179431327
AG,2002,1.68092164071655
AG,2001,1.68525800162572
AG,2000,1.68801336758944
AG,1999,1.70093594818633
AG,1998,1.69100238935682
AG,1997,1.66535033618159
AG,1996,1.65225610290677
AG,1995,1.62698563948819
AG,1994,1.61199126136936
AG,1993,1.58936435608735
AG,1992,1.59021050624501
AG,1991,1.58013173320668
AG,1990,1.58435036935068
AL,2023,39.3625610746
AL,2022,39.4929056444505
AL,2021,40.5962365523591
AL,2020,40.2120768842584
AL,2019,40.5518779586953
AL,2018,42.3056632943665
AL,2017,42.259562222268
AL,2016,42.3874615379273
AL,2015,42.7088500219256
AL,2014,42.89701677571
AL,2013,44.116008544048
AL,2012,43.6574740650497
AL,2011,43.8602530287451
AL,2010,44.2056584066242
AL,2009,44.3402067304425
AL,2008,44.562326396971
AL,2007,44.625500240747
AL,2006,44.4127932854327
AL,2005,45.5278780881257
AL,2004,44.8979641853474
AL,2003,44.590902747564
AL,2002,42.1092663316583
AL,2001,42.8110362634271
AL,2000,42.0198001710921
AL,1999,41.101511518119
AL,1998,40.7186301347068
AL,1997,38.7317048678232
AL,1996,35.4186793241723
AL,1995,31.4718996827885
AL,1994,29.2535404179417
AL,1993,21.9947122609287
AL,1992,9.97827482528383
AL,1991,3.06490551532149
AL,1990,2.33817101051485
AM,2023,148.376614712426
AM,2022,149.549508990476
AM,2021,148.241226196289
AM,2020,141.940551757813
AM,2019,147.486145019531
AM,2018,157.376907348633
AM,2017,154.786590576172
AM,2016,160.208207872256
AM,2015,172.04720077425
AM,2014,164.557666539169
AM,2013,159.440560466033
AM,2012,157.763327428082
AM,2011,163.650009155273
AM,2010,160.168589749083
AM,2009,150.428718172771
AM,2008,147.668868140239
AM,2007,142.008340437229
AM,2006,139.872156676169
AM,2005,137.82099484297
AM,2004,137.723110031677
AM,2003,133.07158068635
AM,2002,129.733038300542
AM,2001,128.714762244875
AM,2000,126.51695522113
AM,1999,131.184866208996
AM,1998,132.969717646135
AM,1997,121.468783515366
AM,1996,104.949595064232
AM,1995,89.3631516475469
AM,1994,34.9346951926193
AM,1993,0.848065211529973
AM,1992,0.0582206672926552
AM,1991,0.00890352600899207
AM,1990,0.00513118142399785
AO,2023,209.922137539756
AO,2022,184.936623659571
AO,2021,174.090515136719
AO,2020,146.909133911133
AO,2019,124.439605712891
AO,2018,111.44181060791
AO,2017,95.8372421264648
AO,2016,82.8633266447229
AO,2015,69.5859035283092
